hour,p_T,p_P,p_total,q,h,v_low,price,solution_time,mode,p_sim,q_sim,h_sim,v_low_sim,mode_sim,date,solution_time_seconds,opt_objective,sim_profit,si_penalty,vol_penalty,op_cost
10,0.0,-5.371702320799587,-5.371702320799587,-8.145949113659205,78.9409183051517,281025.6315825924,-20.010000228881836,301.3593280315399,Pump,-5.371702,-8.045158,78.8826675415039,310528.5,Pump,2024-06-16,301.3593280315399,1755.2825812066192,1715.0496826171875,34.58968734741211,0.0,1305.993408203125
11,0.0,-5.6088696148835275,-5.6088696148835275,-8.169222966492235,80.81069528231001,251616.42890322022,-30.010000228881836,301.3593280315399,Pump,-5.6088696,-8.122307,80.77903747558594,281565.94,Pump,2024-06-16,301.3593280315399,1755.2825812066192,1715.0496826171875,34.58968734741211,0.0,1305.993408203125
12,0.0,-6.408233964009186,-6.408233964009186,-8.883922542733684,82.81489427067804,219634.30774937896,-35.68000030517578,301.3593280315399,Pump,-6.408234,-8.897331,82.7960433959961,252325.62,Pump,2024-06-16,301.3593280315399,1755.2825812066192,1715.0496826171875,34.58968734741211,0.0,1305.993408203125
13,0.0,-5.92326464793158,-5.92326464793158,-8.00771752044318,84.58867050181198,190806.52467578347,-29.040000915527344,301.3593280315399,Pump,-5.9232645,-8.016472,84.56503295898438,220295.23,Pump,2024-06-16,301.3593280315399,1755.2825812066192,1715.0496826171875,34.58968734741211,0.0,1305.993408203125
14,0.0,0.0,0.0,0.0,84.58867050181198,190806.52467578347,-9.859999656677246,301.3593280315399,Idle,0.0,0.0,84.56503295898438,191435.94,Idle,2024-06-16,301.3593280315399,1755.2825812066192,1715.0496826171875,34.58968734741211,0.0,1305.993408203125
15,0.0,0.0,0.0,0.0,84.58867050181195,190806.52467578347,-1.3200000524520874,301.3593280315399,Idle,0.0,0.0,84.56503295898438,191435.94,Idle,2024-06-16,301.3593280315399,1755.2825812066192,1715.0496826171875,34.58968734741211,0.0,1305.993408203125
16,3.393041810289633,0.0,3.393041810289633,4.919714050733859,83.49926692635674,208517.49525842536,25.600000381469727,301.3593280315399,Turbine,3.3930418,4.9800262,83.47090911865234,191435.94,Turbine,2024-06-16,301.3593280315399,1755.2825812066192,1715.0496826171875,34.58968734741211,0.0,1305.993408203125
17,3.5163175689678656,0.0,3.5163175689678656,5.242112876296403,82.3296582869912,227389.10161309247,45.18000030517578,301.3593280315399,Turbine,3.5163176,5.2834244,82.29240417480469,209364.03,Turbine,2024-06-16,301.3593280315399,1755.2825812066192,1715.0496826171875,34.58968734741211,0.0,1305.993408203125
18,4.708842965833063,0.0,4.708842965833063,7.562948375904071,80.62787676713803,254615.71576634725,55.900001525878906,301.3593280315399,Turbine,4.7088428,7.623062,80.55474853515625,228384.36,Turbine,2024-06-16,301.3593280315399,1755.2825812066192,1715.0496826171875,34.58968734741211,0.0,1305.993408203125
19,6.531315167401798,0.0,6.531315167401798,12.001124569803828,77.82938970650886,297819.7642176412,69.47000122070312,301.3593280315399,Turbine,6.451019,11.894966,77.75013732910156,255827.38,Turbine,2024-06-16,301.3593280315399,1755.2825812066192,1715.0496826171875,34.58968734741211,0.0,1305.993408203125
20,6.182436220624335,0.0,6.182436220624335,11.874113137990221,74.95507548146608,340566.571514406,73.13999938964844,301.3593280315399,Turbine,6.0969143,11.619881,74.9000015258789,298649.25,Turbine,2024-06-16,301.3593280315399,1755.2825812066192,1715.0496826171875,34.58968734741211,0.0,1305.993408203125
21,5.835968396787292,0.0,5.835968396787292,11.358386029682137,72.10062581124949,381456.7612212618,65.0,301.3593280315399,Turbine,5.751944,11.196407,72.03860473632812,340480.8,Turbine,2024-06-16,301.3593280315399,1755.2825812066192,1715.0496826171875,34.58968734741211,0.0,1305.993408203125
22,5.359483266283973,0.0,5.359483266283973,10.442611243320123,69.17144742136003,419050.1616972141,64.38999938964844,301.3593280315399,Turbine,5.3594832,10.52581,69.20504760742188,380787.88,Turbine,2024-06-16,301.3593280315399,1755.2825812066192,1715.0496826171875,34.58968734741211,0.0,1305.993408203125
23,4.535415657515719,0.0,4.535415657515719,8.547177306329417,66.76228482261233,449820.0,56.70000076293945,301.3593280315399,Turbine,4.5354156,8.667175,,418680.78,Turbine,2024-06-16,301.3593280315399,1755.2825812066192,1715.0496826171875,34.58968734741211,0.0,1305.993408203125
