Time,Power,Head,Flow,Volume,Price,Date
11,-4.173390102386475,69.60000000000036,-9.325096130371051,413422.39592299645,120.1,2023-02-22
12,0.0,69.60000828664977,0.0,413422.39592299645,131.1,2023-02-22
13,1.8571899038994688e-05,69.6,3.280606965461175e-05,413422.5140248472,136.12,2023-02-22
14,2.8454718297902057,67.87041147572265,5.367381098000834,432745.0859776502,151.01,2023-02-22
15,2.9638940811164503,66.07080821648917,5.584655761720171,452849.8467198428,157.02,2023-02-22
16,3.424029159545171,63.98053881099289,6.486671447752485,476201.86393175175,165.01,2023-02-22
17,3.4240291595458983,61.890269405496156,6.486671447753906,499553.8811436658,175.0,2023-02-22
18,3.4240291595458983,59.79999999999927,6.486671447753906,522905.8983555799,172.73,2023-02-22
19,3.017813127319396,56.43183190421198,6.305427551269105,545605.4375401486,162.06,2023-02-22
20,1.563562273979187,54.63307653957144,3.3673858642578125,557728.0266514767,154.02,2023-02-22
21,-3.5281155109405518,59.79999999999926,-9.672813415527344,522905.89835557836,151.93,2023-02-22
22,-4.548910017251806,63.07813389229611,-10.17293630436177,486283.327659876,134.62,2023-02-22
23,-4.529173175146539,66.34201373352694,-10.128702127743324,449820.0,134.77,2023-02-22
0,2.5658111572265625,75.67474084406132,4.532341003417969,326844.9276123047,29.15,2023-07-15
1,0.0,75.67474084406132,0.0,326844.9276123047,19.95,2023-07-15
2,0.0,75.67474084406132,0.0,326844.9276123047,10.0,2023-07-15
3,0.0,75.67474084406132,0.0,326844.9276123047,13.69,2023-07-15
4,0.0,75.67474084406132,0.0,326844.9276123047,19.74,2023-07-15
5,2.5658111572265625,74.5298940846086,4.532341003417969,343161.3552246094,22.6,2023-07-15
6,2.605317089472807,73.36728312888386,4.602667791253694,359730.9592731227,29.95,2023-07-15
7,0.0,73.36728312888386,0.0,359730.9592731227,17.41,2023-07-15
8,0.0,73.36728312888386,0.0,359730.9592731227,4.6,2023-07-15
9,-4.398015022277832,75.37818977373266,-7.960990905761719,331071.39201238053,0.0,2023-07-15
10,-4.398015022277832,77.38909641858146,-7.960990905761719,302411.82475163834,-0.02,2023-07-15
11,-4.398015022277832,79.39999999999964,-7.960990905761719,273752.25749089615,-0.18,2023-07-15
12,-5.357476711273193,81.17193542438974,-7.960990905761719,245092.69023015394,-1.01,2023-07-15
13,-5.357476711273193,82.94386814940388,-7.960990905761719,216433.12296941175,-0.1,2023-07-15
14,0.0,82.94386814940388,0.0,216433.12296941175,-0.01,2023-07-15
15,0.0,82.94386814940387,0.0,216433.12296941175,1.06,2023-07-15
16,3.1254568099975586,81.85357719921308,4.898490905761719,234067.69023015394,42.0,2023-07-15
17,6.46351534659961,79.39999999999964,11.023503033596441,273752.3011511011,69.08,2023-07-15
18,5.455295562744141,76.69044087991182,10.726890563964844,312369.10718137457,88.65,2023-07-15
19,5.455295562744141,73.980881759824,10.726890563964844,350985.913211648,84.03,2023-07-15
20,5.455295562744141,71.27132263973618,10.726890563964844,389602.71924192144,83.03,2023-07-15
21,4.34429931640625,68.99016940395151,8.509078979492173,420235.40356809326,71.82,2023-07-15
22,4.216166446428158,66.34201373352694,8.217943453307427,449820.0,57.1,2023-07-15
23,0.0,66.3420137335269,0.0,449820.0,19.68,2023-07-15
0,0.0,76.81958760351405,0.0,310528.5,143.73,2023-02-06
1,0.0,76.81958760351573,0.0,310528.5,145.39,2023-02-06
2,0.0,76.81958760351647,0.0,310528.5,142.09,2023-02-06
3,0.0,76.81958760351405,0.0,310528.5,140.1,2023-02-06
4,0.0,76.81958760351405,0.0,310528.5,148.93,2023-02-06
5,3.1505844170970154,75.41152002668812,5.57440754522554,330596.367162812,175.66,2023-02-06
6,4.122651647440219,73.50509770582461,7.547347261412767,357766.81730389793,200.65,2023-02-06
7,4.299501800537105,71.50211163536147,7.929634094238253,386313.5000431556,213.39,2023-02-06
8,4.11475691059643,69.6,7.530281661580986,413422.5140248472,200.59,2023-02-06
9,3.5058732611335888,67.45373676234084,6.660435457016661,437400.08167010715,185.08,2023-02-06
10,3.424029159547424,65.36346735684407,6.486671447754205,460752.0988820223,172.43,2023-02-06
11,2.5037590026859107,63.83590955528045,4.740425109863153,477817.62927752966,153.62,2023-02-06
12,-4.081015539750982,66.76898465924722,-9.10212553510405,445049.9773511551,149.11,2023-02-06
13,-3.9498532201335914,69.60000099999993,-8.785545349121094,413422.01409431914,152.84,2023-02-06
14,2.0436857391965355,68.33976879590412,3.910977227402924,427501.53211296967,162.88,2023-02-06
15,2.963894081116451,66.54016553667253,5.5846557617142025,447606.2928551408,181.8,2023-02-06
16,3.4240291595318695,64.44989613118165,6.48667144772412,470958.3100669476,198.94,2023-02-06
17,3.8841642379757095,62.044824243236576,7.463588714606573,497827.22943953134,213.5,2023-02-06
18,3.6499362166652554,59.8,6.966296921122819,522905.8983555734,205.38,2023-02-06
19,3.017813127319545,56.431831904213475,6.305427551268082,545605.4375401385,186.21,2023-02-06
